"","類別名稱","申請日期","獎學金名稱","申請地點","附加檔案","獎學金金額","獎學金名額","申請對象","申請資格","繳交文件"
"1","法人暨私設","自107年3月23日起至107年4月9日止。","107年『財團法人嘉新兆福文教基金會獎學金』","申請系統本校獎助學金申請系統","點選檔名時，會以開新視窗方式呈現辦法(pdf檔)申請書(pdf檔)同意書(pdf檔)","20,000","大學院校學生暫定200名（其中身心障礙學生保障名額6名）","身障生、大學部、清寒、大一新生、原住民","一、凡在大學院校在學且具備低收入戶資格之學生，最近一學期成績(成績為優、甲、乙等者，請向學校申請原始成績)且未領受任何其他獎學金者。二、一般社會清寒子女之學期成績無任何一學科低於60分，且學業成績總平均分數在80分以上，操行及體育成績均在70分以上。三、具身心障礙身分學生之學業成績總平均70分以上，操行成績為70分以上，體育成績在60分以上。四、其他注意事項請務必詳閱上附之辦法。<U+00A0><U+00A0><U+00A0><U+00A0>","<U+00A0>1、專用申請書（含同意書共計2頁）2、上學期學校正式成績單（正本）：包括學業、獎懲紀錄正本與操行證明書正本及體育成績；「在校未得任何獎學金證明」，將由本組3號櫃臺核蓋於申請書上。3、家境清寒證明：請檢具低收入戶證明（如臺北市低收入戶卡影本，其他縣市鄉鎮區公所開具之低收入戶證明），但申請『身心障礙學生保障名額』類者免辦。"
"2","法人暨私設","自107年2月26日起至107年3月28日止。","106學年度『李秀吉先生獎學金』","申請系統本校獎助學金申請系統","點選檔名時，會以開新視窗方式呈現設置要點(doc檔)校內用申請書(doc檔)","每名50,000整","共5名","身障生、大學部、清寒、大一新生、原住民","（一）限大學部學生（進修推廣部除外，僑生不得申請）。（二）105學年學業成績60分以上，無任何懲處紀錄（大一新生以上學期成績為準）。（三）家境清寒或家遭重大變故者。","（一）校內用申請書。（二）歷年成績單正本（大一新生繳交106-1學期成績單）、獎懲紀錄證明(本組首頁線上申請)。。（三）清寒相關證明（如無免繳）。（四）105年度國稅局全家人所得清單（必繳；政府低收者免附）。（四）全戶戶籍謄本正本(戶口名簿影本請提供近3年內)。（五）自傳。（六）家中遭重大變故者，請附足資證明之相關文件。＊獎學金辦法、申請表格請至本頁上方附加檔案下載。<U+00A0>"
"3","法人暨私設","自107年7月1日起至107年9月30日止。","財團法人法光文教基金會『2018如學禪師佛教文化博碩士論文獎學金』","逕寄台北市松山區光復北路60巷20號","點選檔名時，會以開新視窗方式呈現辦法及申請書(doc檔)","博士論文每名3萬，碩士論文每名2萬","13名","碩士生、博士生","1、具中華民國國籍，在國內大學院校或佛教學院修讀博碩士學位，撰寫有關佛教文化學位論文、考試及格之應屆畢業生（指上年8/1起至本年7/31期間通過學位論文考試者）2、請務必上網詳閱辦法及下載表格。網站：http://fakuang.org.tw/信箱：fakuang@ms49.hinet.net<U+00A0>","1、申請書一份（請從法光佛教文化研究所網頁下載或寄E-mail索取）2、有考試委員簽名頁之學位論文紙本一份（審後送法光佛教文化研究所圖書館收藏）。3、學校發給載有學位論文成績之畢業成績單一份。4、論文摘述（電子檔）一份（4000～4500字，得獎後刊載於法光雜誌）。<U+00A0>"
"4","法人暨私設","自107年2月26日起至107年4月11日止。","106學年度『麗陽股份有限公司獎助學金』","申請系統本校獎助學金申請系統","點選檔名時，會以開新視窗方式呈現辦法(pdf檔)本校用申請書(doc檔)","每名1萬元","11名","身障生、大學部、清寒、大一新生、原住民","（一）本校大學部在學學生（大一可）（二）家境清寒或家中突遭重大變故者。（三）上學期學業等第績分學業GPA1.7以上且每科無不及格，並無任何懲處紀錄。<U+00A0>","1.本校用申請書。2.自傳（須描述家境狀況，1張A4）3.106-1成績單及獎懲記錄正本4.低收或中低收證明（持有者可不檢附所得清單）5.全家人3個月內戶籍謄本正本6.全家人105年國稅局所得資料清單7.突發變故證明8.申請人郵局、玉山、華南銀行擇1金融機構封面影本"
"5","法人暨私設","自107年4月9日起至107年5月15日止。","107年度『環鴻科技研發獎助學金』","逕寄紙本檔案請掃描後email至irene_fan@usiglobal.com，不接受郵寄","點選檔名時，會以開新視窗方式呈現107年海報(jpg檔)107辦法及申請書(pdf檔)","2萬","5名","身障生、碩士生、大學部、清寒、原住民","★該獎學金分3類：清寒績優、身障及優秀人才，限電機、電子、通訊、資管、資工與機械等科系大學部及碩士在學學生。請務必詳閱辦法，備妥資料掃描後寄送電子檔。<U+00A0><U+00A0>","<U+00A0><U+00A0>"
"6","法人暨私設","自107年4月9日起至107年5月7日止。","財團法人蔡衍明愛心基金會『旺旺公益青年送愛下鄉趣』2018端午濟助活動","其他請準備好資料直接至本組櫃臺辦理！","點選檔名時，會以開新視窗方式呈現申請書(doc檔)填寫範例（請務必參閱再填寫）！(jpg檔)","每個個案5千元禮金，直接匯入「戶長」戶頭","該會通知有限制名額，額滿為止","身障生、碩士生、博士生、大學部、清寒、大一新生、原住民","1、家境清寒：有政府清寒證明者優先（低收、中低收、特境...）或里長清寒證明。2、本活動為濟助「個案之戶長」，性質不屬於獎助學金。3、該會表示，如曾獲得2017年濟助者，請勿再申請本次活動。","1、個案申請表（填寫範例如上述附件紅字，承辦單位資料不用填，如不願公開個人概況資料，請於「生活概況一欄」文末特別「註明不公開資料」！）。2、檢附政府相關清寒證明或里長清寒證明（皆為正本）。3、3個月內全家人戶籍謄本正本（需有註記戶長）。4、「戶長本人」（非申請學生）金融帳戶存摺封面影本及身份證正反面影本。<U+00A0>"
"7","法人暨私設","自107年4月16日起至107年5月18日止。","107-1『財團法人廣源慈善基金會助學獎學金』","申請系統本校獎助學金申請系統","點選檔名時，會以開新視窗方式呈現辦法(pdf檔)申請書(pdf檔)著作及肖像權同意書(pdf檔)自我專長同意書(pdf檔)學習心得(xls檔)愛的擁抱學習單(xls檔)愛的擁抱學習單同意書(pdf檔)感恩互助單(xls檔)感恩互助單同意書(pdf檔)期許改變單(xls檔)期許改變單同意書(pdf檔)自我專長同意書(pdf檔)帳戶切結書(pdf檔)","每名20,000-25,000不等","5","身障生、大學部、清寒、大一新生、原住民","1、政府開立之低收入戶、中低收入戶、特殊境遇證明之清寒同學（如無者請提供弱勢家庭子女「弱勢家庭而少證明」或是檢附105年度「全戶」所得清單與財產清單，請至戶籍所在地之稅捐稽徵處申請）。2、106-1學業成績平均75分以上、獎懲紀錄證明（含事由）。3、該會定義全戶為：父母、學生本人、學生之兄弟姊妹及同戶之（外）祖父母。★據該會確認，106-2學期申請的為107-1學期之資格；獲獎後，金額會於107-1學期撥核。","1、該會專用申請書1份（含2吋照片、導師部分需簽章、個人資料同意書，學生本人及監護人需簽名(必須為監護人父親或母親簽名，不可由他人代簽）。2、學生本人帳戶存摺封面影本1份、切結書正本1份（同意書及帳戶切結書，學生及監護人需簽名及蓋章）3、戶籍謄本正本須為近三個月4、106年度低收入戶政府相關證明正本;若為弱勢家庭子女請該生需附上全戶(依戶口名簿直系親屬人數)及105年度所得稅清單及財產清單5、入學至今獎懲紀錄。6、106-1成績單成績須達75分以上。7、106-1學習心得與、期初3選、著作及肖像權同意書（本項EXCEL檔須寄送電子檔至srzeng@ntu.edu.tw）：(1)愛的擁抱學習單、同意書（學生本人及被感謝人皆要附同意書)。(2)感恩互助單、感恩互助單同意書(3)期許改變單、期許改變單同意書"
"8","法人暨私設","自107年4月13日起至107年5月3日止。","106-2『財團法人台北市雨揚慈善基金會清寒助學金』","申請系統本校獎助學金申請系統","點選檔名時，會以開新視窗方式呈現專用申請書(doc檔)","每名10,000元整。","3名","身障生、大學部、清寒、原住民","（一）辦法請參閱：http://www.rswf.org.tw/sp161101.asp<U+00A0><U+00A0>（二）大學部學生，不含僑生（大一新生下學期才能申請）<U+00A0>（三）家庭經濟困頓確實需要幫助者。<U+00A0><U+00A0>（四）106-1學期「各科」成績在80分以上者，且本學期未領取其他獎助學金及公費者。","（一）專用申請書(4頁)。（二）3個月內全家人之戶籍謄本正本。（三）學生證正面影本（影本須蓋106-2註冊圓章）。（四）106-1成績單正本。（五）低、中收入戶證明，如無則請附全家人所得清單。（六）蒐集、處理及利用個人資料告知暨同意書。＊獎學金辦法、申請表格請至本頁上方附加檔案下載。★注意：本學期已受領過其他獎助學金者，請勿再申請！<U+00A0>"
"9","法人暨私設","自107年4月16日起至107年6月11日止。","106學年度『秦啟榮烈士紀念獎學金』","申請系統本校獎助學金申請系統","點選檔名時，會以開新視窗方式呈現辦法及申請書(pdf檔)","研究所每名獎學金新台幣10,000元。大學部每名獎學金新台幣8,000元。","研究所暫定5名。大學部暫定5名。","身障生、碩士生、博士生、大學部、一般生、清寒、大一新生、原住民","（一）政治、法律系所、國發所等相關系所之魯青籍學生，並以抗戰剿匪之烈士遺屬為優先。（二）上學期學業及操行成績平均80分以上者。","（一）專用申請書。（二）上學期成績單正本、操行成績證明書。（三）戶口名簿影本（得證明為魯青籍）。（四）烈士遺屬請加附遺屬證明書或複印本。＊獎學金辦法、申請表格請至本頁上方附加檔案下載。<U+00A0>"
"10","法人暨私設","自107年5月15日起至107年6月16日止。","107年『財團法人連詠科技教育基金會博碩士生獎助學金』(限電資學院)","逕寄300新竹科學園區創新一路13號2F","目前無資料","博士每名每月5萬、碩士每名每年12萬","博士5名、碩士12名","身障生、碩士生、博士生、清寒、原住民","★請詳閱辦法或逕上網站查詢：www.novatek.com.tw","<U+00A0>"
