"","x"
"1","Spring Coffee Days are here! <ed><U+00A0><U+00BD><ed><U+00B2><U+0090><U+2615><U+FE0F>Wherever you are on your coffee journey, we're here to answer your questions and help you brew a great cup at home. Ask away!"
"2","At last, our newest Starbucks Reserve store is open. <ed><U+00A0><U+00BC><ed><U+00BE><U+0089> Starbucks Reserve SODO¡Xlocated in the historic Starbucks HQ in Seattle."
"3","To inspire <U+2764><U+FE0F>, one <U+2615><U+FE0F> at a time..."
"4","<U+2615><U+FE0F><U+2764><U+FE0F>"
"5","~~~~~~<ed><U+00A0><U+00BC><ed><U+00BD><U+0092><ed><U+00A0><U+00BC><ed><U+00BD><U+00AB><ed><U+00A0><U+00BD><ed><U+00B2><U+008C> Cherry Mocha <ed><U+00A0><U+00BD><ed><U+00B2><U+008C><ed><U+00A0><U+00BC><ed><U+00BD><U+00AB><ed><U+00A0><U+00BC><ed><U+00BD><U+0092>~~~~~~"
"6",NA
"7",NA
"8","1.9.18"
"9","For the first time in 43 years..."
"10","Located along one of the busiest pedestrian streets in the world, this two-story Roastery has multiple bars, floor to ceiling art and a hand engraved copper cask that takes customers on a journey of Starbucks coffee."
"11","The Starbucks Reserve Roastery in Shanghai is here! We couldn't be more thrilled to welcome the world to this truly awe-inspiring experience."
"12","Share the goodness that's in your heart. Who makes your world a little brighter? Let us know the big and little ways they're giving good."
"13","Get a cup. Give your heart."
"14","Time with friends, a gift with heart, we're turning sharing into art!

Tell us what you look forward to sharing most during the holidays, and it could be selected by our studio artists to be added to our mural¡XLIVE!"
"15","The only thing missing is you. Join us live as our mural artists bring your holiday ideas and inspiration to life <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

Thursday, November 9, 8am PST/11am EST."
"16","Celebrating all the ways
you color in the holidays."
"17","The good you give goes a long way. #GiveGood"
"18","Fun fact: haunted coffee tastes just like normal coffee."
"19","""I've sat down with people that have told me to my face, I'll never agree with you, but I'll be the first to extend a hand when someone gets here."""
"20","Hiding it for years, this veteran & firefighter now speaks openly about his post-traumatic stress to help others come to terms with theirs."
"21","Moved by a rise in teen suicides, a Mormon mother organizes the first LGBTQ community center in Provo, Utah."
"22","Two military special-ops officers are helping wounded veterans heal, one surfboard at a time."
"23","A man takes on poverty by tapping the talent of former coal miners."
"24","A young doctor who campaigned for Florida¡¦s first needle exchange is saving dozens of lives in Miami."
"25","He admitted to being a racist on national television. Then his life took an unexpected turn."
"26","A young mother quit her job and cashed in her savings to help rebuild her struggling hometown in Ohio."
"27","From taking a bullet to fighting for her assailant's release from prison..."
"28","Chad Houser risked his career to open a new restaurant¡Xone staffed by former juvenile offenders looking for a second chance."
"29","Ordinary people creating extraordinary change. 
Upstanders returns Tues, Oct. 10."
"30","You shared your love of coffee. We doodled. Thanks so much for celebrating National Coffee Day with us! You + Coffee = <U+2764><U+FE0F>

Check out #CoffeeLoveCups on Twitter to see the rest!"
"31","Cup by cup, your morning coffee is making the world a better place. 
You + Coffee = <U+2764><U+FE0F>"
"32","FINALLY! #PSL <U+2728><ed><U+00A0><U+00BC><ed><U+00BD><U+0082><ed><U+00A0><U+00BC><ed><U+00BE><U+0083>"
"33","Starbucks started donating coffee to active duty troops in 2002, and has continued for many years. We¡¦re proud to support active duty troops, veterans & military spouses in a variety of ways. More details at: sbux.co/veterans."
"34","The new Starbucks Summer Game is here. Sip, play, win stars!<U+2B50><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B3><U+00B1><U+2B50><U+FE0F>"
"35","Teavana Iced Tea Infusions are here!"
"36","To inspire <U+2764><U+FE0F>, one <U+2615><U+FE0F> at a time..."
"37","Doubleshot on Ice & Iced Caramel Macchiato: just a couple more excuses for taking the time to be with a friend."
"38","Today we proudly celebrate love ¡X open, courageous, unconditional love."
"39","xoxo Joanne <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"40","Be bold. Be Brave. Be kind. 

<ed><U+00A0><U+00BD><ed><U+00B2><U+009A> Matcha Lemonade <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> Violet Drink <ed><U+00A0><U+00BD><ed><U+00B2><U+0097> Ombre Pink Drink <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> Pink Drink"
"41","Please join us in supporting the Manchester Emergency Fund."
"42","Mocha Frappuccino summer outfit game: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>"
"43","Iced Cinnamon Almondmilk Macchiato + Caramel Macchiato + pastel pink. Bring on spring."
"44","Sharing the things we love makes us happy. 
Love it. Show it. Let the world know it."
"45","All love and good wishes, 2017. <U+2764><U+FE0F>"
"46","To everyone who shared your amazing, beautiful work with us¡Xthank you. And to the winners of this year's #RedCupContest¡Xcongrats!"
"47","For people who love cold brew, the holidays and Grandma: The new ~Spiced~ Sweet Cream Cold Brew is for you."
"48","Happiness is #RedCups. In November."
"49","Ok, here's a hint: they're red.

(Coming 11/10)"
"50","Watch your kitchen come alive with the new #Verismo V, the only machine that lets you make both Starbucks coffee and espresso at <ed><U+00A0><U+00BC><ed><U+00BF><U+00A1>."
"51","Mesmerizing moments with Cold Brew and a splash of Vanilla Sweet Cream magic. <U+2728> #Narino70"
"52","We're LIVE from Rufus King Park in Jamaica, Queens to Turn Up The Vote. Join us, Common and Howard Schultz to celebrate National Voter Registration Day."
"53","In Baldwin, Michigan, college wasn¡¦t in the cards for most high-school graduates¡Xuntil residents did something remarkable. #Upstanders sbux.co/2d0rzrF"
"54","Love watching fall decorate itself."
"55","Forty percent of the U.S. food supply goes to waste. College student Maria Rose Belding created a web-based solution that saves tens of thousands of pounds of food each year. sbux.co/2cX6GNQ"
"56","A little practice. <U+2615><U+FE0F> A latte love. <U+2764><U+FE0F>"
"57","Former pro football player David Vobora gave up a lucrative career in private fitness to work with wounded warriors. His workouts are bringing new strength and inspiration to those sidelined by traumatic injuries. sbux.co/2cMQxZK"
"58","Upstanders is a Starbucks Original Series celebrating ordinary people doing extraordinary things to create positive change in their communities. These stories of humanity remind us that we all have the power to make a difference. Starbucks.com/Upstanders"
"59","A little tart. A lotta <U+2764><U+FE0F>. #Megpies"
"60","Nine delicious ways to enjoy cold coffee: http://sbux.co/25IdykL"
"61","Espresso + water + ice. #IcedAmericano 
<U+2615><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><U+2600><U+FE0F>"
"62","275,000 volunteers, 8,000 community service projects¡XThank you for helping to make a positive change. #ExtraShotOfGood"
"63","<U+2764><U+FE0F><U+2615><U+FE0F>"
"64","This Starbucks store drew design inspiration from an awe-inspiring natural wonder found in its home country ¡V the world¡¦s largest salt flat. #WhereInTheWorld"
